iter	Passed	Remaining
590	1534	1061
591	1536	1058
592	1538	1056
593	1541	1053
594	1543	1050
595	1545	1047
596	1548	1045
597	1549	1041
598	1551	1038
599	1554	1036
600	1556	1033
601	1558	1030
602	1561	1027
603	1563	1025
604	1566	1022
605	1568	1019
606	1571	1017
607	1573	1014
608	1575	1011
609	1578	1009
610	1580	1006
611	1583	1003
612	1585	1001
613	1587	998
614	1590	995
615	1592	992
616	1594	990
617	1597	987
618	1599	984
619	1602	981
620	1604	979
621	1607	976
622	1609	973
623	1612	971
624	1614	968
625	1616	966
626	1619	963
627	1621	960
628	1624	958
629	1626	955
630	1629	952
631	1631	950
632	1634	947
633	1636	944
634	1638	942
635	1641	939
636	1644	936
637	1646	934
638	1648	931
639	1651	928
640	1653	925
641	1655	923
642	1657	920
643	1660	917
644	1662	915
645	1665	912
646	1667	909
647	1669	906
648	1672	904
649	1674	901
650	1677	899
651	1679	896
652	1681	893
653	1684	890
654	1686	888
655	1688	885
656	1691	883
657	1694	880
658	1696	877
659	1699	875
660	1701	872
661	1704	870
662	1707	867
663	1710	865
664	1712	862
665	1715	860
666	1717	857
667	1720	854
668	1722	852
669	1725	849
670	1727	847
671	1730	844
672	1732	841
673	1734	839
674	1737	836
675	1739	833
676	1741	831
677	1744	828
678	1746	825
679	1748	823
680	1751	820
681	1753	817
682	1756	815
683	1758	812
684	1760	809
685	1762	806
686	1765	804
687	1768	801
688	1770	799
689	1773	796
690	1775	794
691	1778	791
692	1781	788
693	1783	786
694	1786	783
695	1788	781
696	1790	778
697	1791	775
698	1793	772
699	1796	769
700	1798	767
701	1800	764
702	1802	761
703	1803	758
704	1805	755
705	1807	752
706	1809	749
707	1811	747
708	1813	744
709	1815	741
710	1817	738
711	1819	736
712	1821	733
713	1823	730
714	1825	727
715	1827	724
716	1829	722
717	1831	719
718	1833	716
719	1835	713
720	1837	711
721	1839	708
722	1842	705
723	1843	702
724	1845	700
725	1847	697
726	1849	694
727	1851	691
728	1853	688
729	1855	686
730	1857	683
731	1859	680
732	1861	677
733	1862	675
734	1864	672
735	1867	669
736	1869	666
737	1871	664
738	1873	661
739	1875	658
740	1877	656
741	1879	653
742	1881	650
743	1883	648
744	1885	645
745	1887	642
746	1889	639
747	1891	637
748	1893	634
749	1895	631
750	1897	629
751	1899	626
752	1901	623
753	1903	620
754	1905	618
755	1907	615
756	1909	612
757	1911	610
758	1913	607
759	1915	604
760	1917	602
761	1918	599
762	1920	596
763	1922	593
764	1924	591
765	1926	588
766	1928	585
767	1930	583
768	1932	580
769	1934	577
770	1935	575
771	1937	572
772	1939	569
773	1941	566
774	1943	564
775	1945	561
776	1947	558
777	1949	556
778	1951	553
779	1953	551
780	1955	548
781	1957	545
782	1959	543
783	1961	540
784	1964	537
785	1966	535
786	1970	533
787	1973	530
788	1975	528
789	1977	525
790	1980	523
791	1982	520
792	1984	518
793	1986	515
794	1988	512
795	1990	510
796	1992	507
797	1995	505
798	1997	502
799	1999	499
800	2002	497
801	2004	494
802	2006	492
803	2008	489
804	2010	486
805	2012	484
806	2014	481
807	2016	479
808	2017	476
809	2019	473
810	2021	471
811	2023	468
812	2025	465
813	2027	463
814	2029	460
815	2030	457
816	2032	455
817	2034	452
818	2036	450
819	2038	447
820	2040	444
821	2042	442
822	2044	439
823	2046	437
824	2048	434
825	2050	431
826	2052	429
827	2054	426
828	2056	424
829	2058	421
830	2060	418
831	2061	416
832	2064	413
833	2065	411
834	2067	408
835	2069	405
836	2071	403
837	2073	400
838	2075	398
839	2077	395
840	2079	393
841	2081	390
842	2083	388
843	2086	385
844	2088	383
845	2090	380
846	2093	378
847	2095	375
848	2097	373
849	2100	370
850	2102	368
851	2104	365
852	2107	363
853	2109	360
854	2111	358
855	2114	355
856	2116	353
857	2118	350
858	2121	348
859	2123	345
860	2125	343
861	2128	340
862	2130	338
